algorithm;type;module_name;class_name;abbr;multiclass;continuous;export;clf
AC;AC;QFY.AC;AC;AC;1;1;1;1
PAC;AC;QFY.AC;PAC;PAC;1;1;1;1
TSX;AC;QFY.AC;TSX;TSX;1;1;1;1
TS50;AC;QFY.AC;TS50;TS50;1;1;1;1
TSMax;AC;QFY.AC;TSMax;TSMax;1;1;1;1
MS;AC;QFY.AC;MS;MS;1;1;1;1
GAC;DM;QFY.distribution_matching;GAC;GAC;1;1;1;1
GPAC;DM;QFY.distribution_matching;GPAC;GPAC;1;1;1;1
DyS;DM;QFY.distribution_matching;DyS;DyS;1;1;1;1
FormanMM;DM;QFY.distribution_matching;FormanMM;FMM;1;1;1;1
readme;DM;QFY.distribution_matching;ReadMe;readme;1;0;1;0
HDx;DM;QFY.distribution_matching;HDx;HDx;1;0;1;0
HDy;DM;QFY.distribution_matching;HDy;HDy;1;1;1;1
FM;DM;QFY.distribution_matching;FM;FM;1;1;1;1
ED;DM;QFY.distribution_matching;ED;ED;1;1;1;0
EM;DM;QFY.distribution_matching;EM;EM;1;1;1;1
CDE;DM;QFY.distribution_matching;CDE;CDE;0;1;1;1
CC;CC;QFY.classification_models;CC;CC;1;1;1;1
PCC;CC;QFY.classification_models;PCC;PCC;1;1;1;1
SVM_KLD;CC;QFY.classification_models;SVMPerf;SVM-K;0;1;0;1
SVM_Q;CC;QFY.classification_models;SVMPerf;SVM-Q;0;1;0;1
PWK;CC;QFY.classification_models;PWK;PWK;1;1;1;0
QForestCC;CC;;;QF;1;0;0;1
QForestAC;CC;;;QF-AC;0;0;0;1
