algorithm;type;module_name;class_name;multiclass;continuous;export;clf_type;tunable
AC;AC;QFY.AC;AC;OVR;1;1;crisp;1
PAC;AC;QFY.AC;PAC;OVR;1;1;prob;1
TSX;AC;QFY.AC;TSX;OVR;1;1;score;1
TS50;AC;QFY.AC;TS50;OVR;1;1;score;1
TSMax;AC;QFY.AC;TSMax;OVR;1;1;score;1
MS;AC;QFY.AC;MS;OVR;1;1;score;1
GAC;DM;QFY.distribution_matching;GAC;Yes;1;1;crisp;1
GPAC;DM;QFY.distribution_matching;GPAC;Yes;1;1;prob;1
DyS;DM;QFY.distribution_matching;DyS;OVR;1;1;score;1
FMM;DM;QFY.distribution_matching;FormanMM;OVR;1;1;score;1
readme;DM;QFY.distribution_matching;ReadMe;Yes;0;1;none;1
HDx;DM;QFY.distribution_matching;HDx;Yes;0;1;none;0
HDy;DM;QFY.distribution_matching;HDy;OVR;1;1;score;1
FM;DM;QFY.distribution_matching;FM;Yes;1;1;prob;1
ED;DM;QFY.distribution_matching;ED;Yes;1;1;none;0
EM;DM;QFY.distribution_matching;EM;Yes;1;1;prob;1
CDE;DM;QFY.distribution_matching;CDE;No;1;1;prob;1
CC;CC;QFY.classification_models;CC;Yes;1;1;crisp;1
PCC;CC;QFY.classification_models;PCC;Yes;1;1;prob;1
PWK;CC;QFY.classification_models;PWK;Yes;1;1;none;1
SVM-K;CC;QFY.classification_models;SVM_KLD;No;1;1;none;0
SVM-Q;CC;QFY.classification_models;SVM_Q;No;1;1;none;0
RBF-K;CC;QFY.classification_models;RBF_KLD;No;1;1;none;1
RBF-Q;CC;QFY.classification_models;RBF_Q;No;1;1;none;1
QF;CC;QFY.classification_models;QuantificationForest;Yes;0;0;none;0
